TEMP;TOTAL HMX
K;kJ/mol
434,9;-146,2792139
435;-146,2538838
435,1;-146,2285117
435,2;-146,2031397
435,3;-146,1777677
435,4;-146,1523539
435,5;-146,12694
435,6;-146,1014842
435,7;-146,0760285
435,8;-146,0505727
435,9;-146,0250751
436;-145,9995357
436,1;-145,9739962
436,2;-145,9484567
436,3;-145,9228753
436,4;-145,897294
436,5;-145,8717126
436,6;-145,8460894
436,7;-145,8204243
436,8;-145,7947593
436,9;-145,7690942
437;-145,7433872
437,1;-145,7176803
437,2;-145,6919315
437,3;-145,6661826
437,4;-145,6403919
437,5;-145,6146013
437,6;-145,5888106
437,7;-145,562978
437,8;-145,5371036
437,9;-145,5112292
438;-145,4853547
438,1;-145,4594385
438,2;-145,4335222
438,3;-145,407564
438,4;-145,381564
438,5;-145,3556058
438,6;-145,3295639
438,7;-145,3035639
438,8;-145,2774801
438,9;-145,2514382
439;-145,2253126
439,1;-145,1992288
439,2;-145,1730613
439,3;-145,1469357
439,4;-145,1207263
439,5;-145,0945588
439,6;-145,0683076
439,7;-145,0420982
439,8;-145,0158051
439,9;-144,9895539
440;-144,9632189
440,1;-144,9369258
440,2;-144,910549
440,3;-144,8841721
440,4;-144,8577953
440,5;-144,8313766
440,6;-144,8049579
440,7;-144,7784973
440,8;-144,7519949
440,9;-144,7254924
441;-144,69899
441,1;-144,6724038
441,2;-144,6458595
441,3;-144,6192733
441,4;-144,5926452
441,5;-144,5659753
441,6;-144,5393473
441,7;-144,5126355
441,8;-144,4859237
441,9;-144,4592119
442;-144,4324164
442,1;-144,4056628
442,2;-144,3788254
442,3;-144,3520299
442,4;-144,3251506
442,5;-144,2982713
442,6;-144,2713502
442,7;-144,2444291
442,8;-144,2174661
442,9;-144,1905031
443;-144,1634982
443,1;-144,1364515
443,2;-144,1094048
443,3;-144,0823162
443,4;-144,0552276
443,5;-144,0280971
443,6;-144,0009248
443,7;-143,9737525
443,8;-143,9465383
443,9;-143,9193241
444;-143,8920261
444,1;-143,8647701
444,2;-143,8374303
444,3;-143,8100905
444,4;-143,7827088
444,5;-143,7553271
444,6;-143,7279036
444,7;-143,7004382
444,8;-143,6729728
444,9;-143,6454655
445;-143,6179163
445,1;-143,5903672
445,2;-143,5627762
445,3;-143,5351433
445,4;-143,5075104
445,5;-143,4797938
445,6;-143,4521191
445,7;-143,4243606
445,8;-143,3966021
445,9;-143,3688017
446;-143,3409595
446,1;-143,3131173
446,2;-143,2852332
446,3;-143,2573073
446,4;-143,2293813
446,5;-143,2013716
446,6;-143,1733619
446,7;-143,1453104
446,8;-143,1172588
446,9;-143,0891654
447;-143,0610301
447,1;-143,0328529
447,2;-143,0046339
447,3;-142,9764148
447,4;-142,9481539
447,5;-142,9198512
447,6;-142,8915065
447,7;-142,8631619
447,8;-142,8347754
447,9;-142,806347
448;-142,7778768
448,1;-142,7493647
448,2;-142,7208107
448,3;-142,6922567
448,4;-142,6636609
448,5;-142,6350232
448,6;-142,6063436
448,7;-142,5776221
448,8;-142,5489007
448,9;-142,5200955
449;-142,4912903
449,1;-142,4624433
449,2;-142,4335544
449,3;-142,4046236
449,4;-142,3756509
449,5;-142,3466364
449,6;-142,31758
449,7;-142,2885236
449,8;-142,2593835
449,9;-142,2302433
450;-142,2010195
450,1;-142,1717956
450,2;-142,1425299
450,3;-142,1131804
450,4;-142,083831
450,5;-142,0544396
450,6;-142,0250064
450,7;-141,9955313
450,8;-141,9659725
450,9;-141,9364137
451;-141,906813
451,1;-141,8771705
451,2;-141,8474861
451,3;-141,8177179
451,4;-141,7879498
451,5;-141,7581398
451,6;-141,728246
451,7;-141,6983523
451,8;-141,6683748
451,9;-141,6383554
452;-141,6082942
452,1;-141,578233
452,2;-141,5480462
452,3;-141,5178593
452,4;-141,4876306
452,5;-141,4573182
452,6;-141,4270058
452,7;-141,3966096
452,8;-141,3661716
452,9;-141,3356917
453;-141,305128
453,1;-141,2745644
453,2;-141,243917
453,3;-141,2132278
453,4;-141,1824966
453,5;-141,1516818
453,6;-141,1208251
453,7;-141,0899265
453,8;-141,0589442
453,9;-141,0279619
454;-140,9968958
454,1;-140,965746
454,2;-140,9345544
454,3;-140,9033208
454,4;-140,8720454
454,5;-140,8406863
454,6;-140,8092434
454,7;-140,7778006
454,8;-140,7462321
454,9;-140,7146636
455;-140,6830114
455,1;-140,6512755
455,2;-140,6194977
455,3;-140,5876361
455,4;-140,5557327
455,5;-140,5237455
455,6;-140,4917165
455,7;-140,4596038
455,8;-140,4274491
455,9;-140,3952108
456;-140,3628887
456,1;-140,3305247
456,2;-140,298077
456,3;-140,2655456
456,4;-140,2329723
456,5;-140,2002734
456,6;-140,1675326
456,7;-140,1347499
456,8;-140,1018417
456,9;-140,0688916
457;-140,0358577
457,1;-140,0027401
457,2;-139,9695388
457,3;-139,9362538
457,4;-139,902885
457,5;-139,8694324
457,6;-139,835938
457,7;-139,802318
457,8;-139,7686143
457,9;-139,7348268
458;-139,7009556
458,1;-139,6670007
458,2;-139,632962
458,3;-139,5987977
458,4;-139,5645915
458,5;-139,5302598
458,6;-139,4958443
458,7;-139,4613032
458,8;-139,4266783
458,9;-139,3919698
459;-139,3571356
459,1;-139,3222177
459,2;-139,287216
459,3;-139,2520888
459,4;-139,2168359
459,5;-139,1814993
459,6;-139,1460371
459,7;-139,1104493
459,8;-139,0747778
459,9;-139,0389807
460;-139,0030579
460,1;-138,9670096
460,2;-138,9308356
460,3;-138,8945779
460,4;-138,8581528
460,5;-138,821602
460,6;-138,7849675
460,7;-138,7481237
460,8;-138,7111961
460,9;-138,6741429
461;-138,6369222
461,1;-138,5995341
461,2;-138,5620623
461,3;-138,5243811
461,4;-138,4865743
461,5;-138,4486419
461,6;-138,4105001
461,7;-138,3722328
461,8;-138,3337979
461,9;-138,2951538
462;-138,256384
462,1;-138,2174468
462,2;-138,1783002
462,3;-138,1389861
462,4;-138,0995046
462,5;-138,0598137
462,6;-138,0199135
462,7;-137,9798459
462,8;-137,9395688
462,9;-137,8990406
463;-137,8583449
463,1;-137,8174399
463,2;-137,7762836
463,3;-137,7349181
463,4;-137,6933013
463,5;-137,6514333
463,6;-137,6093141
463,7;-137,5669855
463,8;-137,5243639
463,9;-137,4814492
464;-137,4382833
464,1;-137,3948662
464,2;-137,3511141
464,3;-137,307069
464,4;-137,2627308
464,5;-137,2180576
464,6;-137,1730495
464,7;-137,1277065
464,8;-137,0819866
464,9;-137,0359318
465;-136,9895002
465,1;-136,9426499
465,2;-136,8954228
465,3;-136,847777
465,4;-136,7997125
465,5;-136,7511457
465,6;-136,7021601
465,7;-136,6526721
465,8;-136,6026399
465,9;-136,5521052
466;-136,5010262
466,1;-136,4493611
466,2;-136,397068
466,3;-136,3441887
466,4;-136,2905977
466,5;-136,2363367
466,6;-136,1813222
466,7;-136,125554
466,8;-136,0689485
466,9;-136,0114637
467;-135,9530578
467,1;-135,893689
467,2;-135,8333154
467,3;-135,7717694
467,4;-135,709093
467,5;-135,6451187
467,6;-135,5797628
467,7;-135,5128996
467,8;-135,4444872
467,9;-135,3742746
468;-135,302136
468,1;-135,2279041
468,2;-135,1513275
468,3;-135,0721133
468,4;-134,9899682
468,5;-134,9044738
468,6;-134,8152112
468,7;-134,7215106
468,8;-134,6225765
468,9;-134,517446
469;-134,4046536
469,1;-134,2822316
469,2;-134,1472073
469,3;-133,9947659
469,4;-133,8163245
469,5;-133,5934192
469,6;-133,2695284
469,7;-132,1643807
469,8;-131,553066
469,9;-131,2928145
470;-131,1068787
470,1;-130,9566982
470,2;-130,8281634
470,3;-130,7144081
470,4;-130,6114128
470,5;-130,5166655
470,6;-130,4285334
470,7;-130,3458022
470,8;-130,2675509
470,9;-130,1931096
471;-130,1220177
471,1;-130,0537729
471,2;-129,9880401
471,3;-129,9246101
471,4;-129,8631898
471,5;-129,8035697
471,6;-129,7455826
471,7;-129,6891445
471,8;-129,6340881
471,9;-129,5802877
472;-129,5276596
472,1;-129,4761201
472,2;-129,4255854
472,3;-129,3759719
472,4;-129,3272794
472,5;-129,2794242
472,6;-129,2323227
472,7;-129,185933
472,8;-129,140255
472,9;-129,0952469
473;-129,050825
473,1;-129,0069892
473,2;-128,9637395
473,3;-128,9209923
473,4;-128,8787894
473,5;-128,837047
473,6;-128,7957232
473,7;-128,7549019
473,8;-128,7144575
473,9;-128,6744316
474;-128,6348245
474,1;-128,5955523
474,2;-128,556657
474,3;-128,5180965
474,4;-128,4798711
474,5;-128,4419386
474,6;-128,4043412
474,7;-128,3670368
474,8;-128,3300255
474,9;-128,2933072
475;-128,2568402
475,1;-128,2206244
475,2;-128,1846598
475,3;-128,1489464
475,4;-128,1134423
475,5;-128,0782313
475,6;-128,0431878
475,7;-128,0083536
475,8;-127,9737707
475,9;-127,9393552
476;-127,905149
476,1;-127,8711522
476,2;-127,8373229
476,3;-127,8037029
476,4;-127,7702503
476,5;-127,7369653
476,6;-127,7038477
476,7;-127,6708557
476,8;-127,638073
476,9;-127,6054579
477;-127,5729683
477,1;-127,5406043
477,2;-127,5084078
477,3;-127,4763788
477,4;-127,4444754
477,5;-127,4126976
477,6;-127,3810454
477,7;-127,3495607
477,8;-127,3181597
477,9;-127,2868843
478;-127,2557345
478,1;-127,2247521
478,2;-127,1938117
478,3;-127,1630387
478,4;-127,1323495
478,5;-127,1017858
478,6;-127,0713478
478,7;-127,0409935
478,8;-127,0107229
478,9;-126,980578
479;-126,9505167
479,1;-126,9205811
479,2;-126,8907292
479,3;-126,8609611
479,4;-126,8312767
479,5;-126,8017179
479,6;-126,7722009
479,7;-126,7428096
479,8;-126,7134601
479,9;-126,6842363
480;-126,6550961
480,1;-126,6260397
480,2;-126,5970252
480,3;-126,5681363
480,4;-126,5392893
480,5;-126,5105259
480,6;-126,4818464
480,7;-126,4532086
480,8;-126,4246965
480,9;-126,3962263
481;-126,3678398
481,1;-126,3394952
481,2;-126,3112343
481,3;-126,2830571
481,4;-126,2549218
481,5;-126,2268702
481,6;-126,1988605
481,7;-126,1709346
481,8;-126,1430505
481,9;-126,1152501
482;-126,0874917
482,1;-126,059775
482,2;-126,0321422
482,3;-126,0045512
482,4;-125,9770439
482,5;-125,9495785
482,6;-125,9221549
482,7;-125,8948151
482,8;-125,8675172
482,9;-125,8402611
483;-125,8130888
483,1;-125,7859165
483,2;-125,7588279
483,3;-125,7317811
483,4;-125,7047763
483,5;-125,6778552
483,6;-125,650934
483,7;-125,6240966
483,8;-125,5973011
483,9;-125,5705475
484;-125,5438357
484,1;-125,5171658
484,2;-125,4905377
484,3;-125,4639515
484,4;-125,4374072
484,5;-125,4109467
484,6;-125,3844861
484,7;-125,3580674
484,8;-125,3316905
484,9;-125,3053974
485;-125,2791043
485,1;-125,2528531
485,2;-125,2266437
485,3;-125,2004762
485,4;-125,1743506
485,5;-125,1482668
485,6;-125,1222249
485,7;-125,096183
485,8;-125,0702249
485,9;-125,0442667
486;-125,0183504
486,1;-124,992476
486,2;-124,9666434
486,3;-124,9408527
486,4;-124,9151039
486,5;-124,8893551
486,6;-124,8636482
486,7;-124,8379831
486,8;-124,8123599
