TEMP;TOTAL HMX
K;kJ/mol
420,4;-124,9172392
420,3;-124,9554228
420,2;-124,9933134
420,1;-125,0308689
420;-125,0681315
419,9;-125,1051428
419,8;-125,1418191
419,7;-125,1782443
419,6;-125,2144183
419,5;-125,250341
419,4;-125,2859707
419,3;-125,321391
419,2;-125,3565601
419,1;-125,3915199
419;-125,4262703
418,9;-125,4607696
418,8;-125,4950595
418,7;-125,5291819
418,6;-125,5630531
418,5;-125,5967568
418,4;-125,6302512
418,3;-125,6635782
418,2;-125,6967376
418,1;-125,7296877
418;-125,7624704
417,9;-125,7950856
417,8;-125,8275333
417,7;-125,8598135
417,6;-125,8919262
417,5;-125,9239134
417,4;-125,9557331
417,3;-125,9873853
417,2;-126,0189119
417,1;-126,050271
417;-126,0815045
416,9;-126,1126125
416,8;-126,1435529
416,7;-126,1743678
416,6;-126,2050989
416,5;-126,2356625
416,4;-126,2661006
416,3;-126,296413
416,2;-126,3265998
416,1;-126,3567029
416;-126,3866385
415,9;-126,4164904
415,8;-126,4462167
415,7;-126,4758592
415,6;-126,5053762
415,5;-126,5347675
415,4;-126,5640751
415,3;-126,5932571
415,2;-126,6223554
415,1;-126,6513699
415;-126,6802588
414,9;-126,709064
414,8;-126,7377436
414,7;-126,7663394
414,6;-126,7948515
414,5;-126,8232799
414,4;-126,8516245
414,3;-126,8798436
414,2;-126,9080207
414,1;-126,9360723
414;-126,964082
413,9;-126,9919661
413,8;-127,0197664
413,7;-127,0475249
413,6;-127,0751578
413,5;-127,1027488
413,4;-127,1302561
413,3;-127,1576796
413,2;-127,1850194
413,1;-127,2122755
413;-127,2394478
412,9;-127,2665783
412,8;-127,293625
412,7;-127,320588
412,6;-127,3475091
412,5;-127,3743465
412,4;-127,4011002
412,3;-127,4278119
412,2;-127,45444
412,1;-127,4810262
412;-127,5075286
411,9;-127,5339473
411,8;-127,5603242
411,7;-127,5866173
411,6;-127,6128685
411,5;-127,639036
411,4;-127,6651616
411,3;-127,6912454
411,2;-127,7172454
411,1;-127,7431617
411;-127,7690361
410,9;-127,7948687
410,8;-127,8206594
410,7;-127,8463663
410,6;-127,8720314
410,5;-127,8976128
410,4;-127,9231523
410,3;-127,9486499
410,2;-127,9741056
410,1;-127,9994776
410;-128,0248078
409,9;-128,050096
409,8;-128,0753006
409,7;-128,1005051
409,6;-128,1256259
409,5;-128,1507048
409,4;-128,1757419
409,3;-128,2006952
409,2;-128,2256486
409,1;-128,2505181
409;-128,2753459
408,9;-128,3001317
408,8;-128,3248757
408,7;-128,3495778
408,6;-128,3742381
408,5;-128,3988146
408,4;-128,4233911
408,3;-128,4479258
408,2;-128,4723767
408,1;-128,4967857
408;-128,5211948
407,9;-128,5455201
407,8;-128,5698035
407,7;-128,594087
407,6;-128,6182867
407,5;-128,6424445
407,4;-128,6666023
407,3;-128,6906764
407,2;-128,7147505
407,1;-128,7387409
407;-128,7627313
406,9;-128,7866379
406,8;-128,8105445
406,7;-128,8343674
406,6;-128,8581903
406,5;-128,8819713
406,4;-128,9057105
406,3;-128,9294078
406,2;-128,9530632
406,1;-128,9767186
406;-129,0002903
405,9;-129,023862
405,8;-129,0473499
405,7;-129,0708379
405,6;-129,094284
405,5;-129,11773
405,4;-129,1410924
405,3;-129,1644129
405,2;-129,1877333
405,1;-129,2110119
405;-129,2342487
404,9;-129,2574435
404,8;-129,2806384
404,7;-129,3037496
404,6;-129,3268607
404,5;-129,34993
404,4;-129,3729992
404,3;-129,3959848
404,2;-129,4189703
404,1;-129,441914
404;-129,4648158
403,9;-129,4877175
403,8;-129,5105775
403,7;-129,5333955
403,6;-129,5561717
403,5;-129,5789479
403,4;-129,6016822
403,3;-129,6243747
403,2;-129,6470253
403,1;-129,6696759
403;-129,6922846
402,9;-129,7148514
402,8;-129,7374183
402,7;-129,7599433
402,6;-129,7824264
402,5;-129,8049095
402,4;-129,8273508
402,3;-129,8497501
402,2;-129,8721495
402,1;-129,894507
402;-129,9168227
401,9;-129,9390965
401,8;-129,9613702
401,7;-129,983644
401,6;-130,005834
401,5;-130,028066
401,4;-130,0502141
401,3;-130,0723623
401,2;-130,0944686
401,1;-130,116533
401;-130,1385975
400,9;-130,1606619
400,8;-130,1826426
400,7;-130,2046652
400,6;-130,226604
400,5;-130,2485428
400,4;-130,2704398
400,3;-130,2923368
400,2;-130,3141919
400,1;-130,336047
400;-130,3578602
